,Metro,State,zipcode,City,County
64,Chicago-Naperville-Elgin,IL,60610,Chicago,Cook County
65,New York-Newark-Jersey City,NY,11221,New York,Kings County
66,Miami-Fort Lauderdale-West Palm Beach,FL,33160,Sunny Isles Beach,Miami-Dade County
67,Virginia Beach-Norfolk-Newport News,VA,23464,Virginia Beach,Virginia Beach City
68,Houston-The Woodlands-Sugar Land,TX,77077,Houston,Harris County
69,Atlanta-Sandy Springs-Roswell,GA,30096,Duluth,Gwinnett County
70,Baltimore-Columbia-Towson,MD,21234,Parkville,Baltimore County
71,Dallas-Fort Worth-Arlington,TX,75243,Dallas,Dallas County
72,Seattle-Tacoma-Bellevue,WA,98052,Redmond,King County
73,New York-Newark-Jersey City,NY,11214,New York,Kings County
74,Brownsville-Harlingen,TX,78521,Brownsville,Cameron County
75,San Francisco-Oakland-Hayward,CA,94501,Alameda,Alameda County
76,Houston-The Woodlands-Sugar Land,TX,77379,Spring,Harris County
77,New York-Newark-Jersey City,NJ,8701,Lakewood,Ocean County
78,New York-Newark-Jersey City,NY,10019,New York,New York County
79,Austin-Round Rock,TX,78666,San Marcos,Hays County
80,Atlanta-Sandy Springs-Roswell,GA,30024,Suwanee,Gwinnett County
81,New York-Newark-Jersey City,NY,11229,New York,Kings County
82,Miami-Fort Lauderdale-West Palm Beach,FL,33411,Royal Palm Beach,Palm Beach County
83,Austin-Round Rock,TX,78745,Austin,Travis County
84,Chicago-Naperville-Elgin,IL,60619,Chicago,Cook County
85,San Francisco-Oakland-Hayward,CA,94110,San Francisco,San Francisco County
86,Miami-Fort Lauderdale-West Palm Beach,FL,33025,Miramar,Broward County
87,Los Angeles-Long Beach-Anaheim,CA,90034,Los Angeles,Los Angeles County
88,Miami-Fort Lauderdale-West Palm Beach,FL,33139,Miami Beach,Miami-Dade County
89,Cleveland-Elyria,OH,44107,Lakewood,Cuyahoga County
90,Charlotte-Concord-Gastonia,NC,28027,Concord,Cabarrus County
91,Dallas-Fort Worth-Arlington,TX,75067,Lewisville,Denton County
92,Virginia Beach-Norfolk-Newport News,VA,23462,Virginia Beach,Virginia Beach City
93,New York-Newark-Jersey City,NY,11377,New York,Queens County
94,Boston-Cambridge-Newton,MA,2169,Quincy,Norfolk County
95,Ann Arbor,MI,48197,Ypsilanti,Washtenaw County
96,Kansas City,KS,66062,Olathe,Johnson County
97,Cleveland-Elyria,OH,44035,Elyria,Lorain County
98,Los Angeles-Long Beach-Anaheim,CA,90044,Los Angeles,Los Angeles County
99,Sacramento--Roseville--Arden-Arcade,CA,95630,Folsom,Sacramento County
100,Los Angeles-Long Beach-Anaheim,CA,90805,Long Beach,Los Angeles County
101,Tucson,AZ,85710,Tucson,Pima County
102,Los Angeles-Long Beach-Anaheim,CA,90650,Norwalk,Los Angeles County
103,Chicago-Naperville-Elgin,IL,60611,Chicago,Cook County
104,Los Angeles-Long Beach-Anaheim,CA,92683,Westminster,Orange County
105,New York-Newark-Jersey City,NY,11234,New York,Kings County
106,New York-Newark-Jersey City,NY,11355,New York,Queens County
107,Nashville-Davidson--Murfreesboro--Franklin,TN,37075,Hendersonville,Sumner County
108,New York-Newark-Jersey City,NY,10314,New York,Richmond County
109,Atlanta-Sandy Springs-Roswell,GA,30281,Stockbridge,Henry County
110,New York-Newark-Jersey City,NY,11211,New York,Kings County
111,New York-Newark-Jersey City,NY,11215,New York,Kings County
112,Los Angeles-Long Beach-Anaheim,CA,90026,Los Angeles,Los Angeles County
113,Jacksonville,FL,32210,Jacksonville,Duval County
114,Napa,CA,94558,Napa,Napa County
115,Phoenix-Mesa-Scottsdale,AZ,85225,Chandler,Maricopa County
116,Denver-Aurora-Lakewood,CO,80134,Parker,Douglas County
117,Albuquerque,NM,87114,Albuquerque,Bernalillo County
118,San Diego-Carlsbad,CA,91910,Chula Vista,San Diego County
119,Hartford-West Hartford-East Hartford,CT,6010,Bristol,Hartford County
120,Fresno,CA,93722,Fresno,Fresno County
121,San Antonio-New Braunfels,TX,78240,San Antonio,Bexar County
122,Columbus,OH,43081,Westerville,Franklin County
123,Lancaster,PA,17603,Lancaster,Lancaster County
124,Las Vegas-Henderson-Paradise,NV,89108,Las Vegas,Clark County
125,Phoenix-Mesa-Scottsdale,AZ,85308,Glendale,Maricopa County
126,Phoenix-Mesa-Scottsdale,AZ,85281,Tempe,Maricopa County
127,Albuquerque,NM,87111,Albuquerque,Bernalillo County
128,Detroit-Warren-Dearborn,MI,48180,Taylor,Wayne County
129,Orlando-Kissimmee-Sanford,FL,34787,Winter Garden,Orange County
130,Portland-Vancouver-Hillsboro,OR,97229,Portland,Multnomah County
131,Vallejo-Fairfield,CA,94533,Fairfield,Solano County
132,Dallas-Fort Worth-Arlington,TX,76063,Mansfield,Tarrant County
133,Pittsburgh,PA,15601,Greensburg,Westmoreland County
134,Houston-The Woodlands-Sugar Land,TX,77459,Missouri City,Fort Bend County
135,Riverside-San Bernardino-Ontario,CA,91709,Chino Hills,San Bernardino County
136,Columbus,OH,43055,Newark,Licking County
137,Sacramento--Roseville--Arden-Arcade,CA,95608,Carmichael,Sacramento County
138,El Paso,TX,79938,El Paso,El Paso County
139,Yuma,AZ,85364,Yuma,Yuma County
140,Cleveland-Elyria,OH,44060,Mentor,Lake County
141,New York-Newark-Jersey City,NY,11238,New York,Kings County
142,Columbus,OH,43123,Grove City,Franklin County
143,McAllen-Edinburg-Mission,TX,78577,Pharr,Hidalgo County
144,Denver-Aurora-Lakewood,CO,80013,Aurora,Arapahoe County
145,Miami-Fort Lauderdale-West Palm Beach,FL,33024,Pembroke Pines,Broward County
146,Cape Coral-Fort Myers,FL,33908,Fort Myers,Lee County
147,New York-Newark-Jersey City,NY,11385,New York,Queens County
148,Dallas-Fort Worth-Arlington,TX,75056,The Colony,Denton County
149,Seattle-Tacoma-Bellevue,WA,98012,Bothell,Snohomish County
150,Los Angeles-Long Beach-Anaheim,CA,90066,Los Angeles,Los Angeles County
151,Washington-Arlington-Alexandria,MD,20906,Silver Spring,Montgomery County
152,Dallas-Fort Worth-Arlington,TX,76028,Burleson,Johnson County
153,Ithaca,NY,14850,Ithaca,Tompkins County
154,Tampa-St. Petersburg-Clearwater,FL,33647,Tampa,Hillsborough County
155,Los Angeles-Long Beach-Anaheim,CA,92677,Laguna Niguel,Orange County
156,Atlanta-Sandy Springs-Roswell,GA,30040,Cumming,Forsyth County
157,Raleigh,NC,27587,Wake Forest,Wake County
158,Cleveland-Elyria,OH,44256,Medina,Medina County
159,Boston-Cambridge-Newton,MA,2148,Malden,Middlesex County
160,Springfield,MO,65807,Springfield,Greene County
161,Chicago-Naperville-Elgin,IL,60620,Chicago,Cook County
162,New York-Newark-Jersey City,NY,11373,New York,Queens County
163,Sacramento--Roseville--Arden-Arcade,CA,95823,Sacramento,Sacramento County
164,Bridgeport-Stamford-Norwalk,CT,6902,Stamford,Fairfield County
165,Riverside-San Bernardino-Ontario,CA,92336,Fontana,San Bernardino County
166,Cincinnati,OH,45011,Hamilton,Butler County
167,College Station-Bryan,TX,77845,College Station,Brazos County
168,Lafayette-West Lafayette,IN,47906,West Lafayette,Tippecanoe County
169,Greensboro-High Point,NC,27410,Greensboro,Guilford County
170,Columbia,MO,65203,Columbia,Boone County
171,Atlanta-Sandy Springs-Roswell,GA,30188,Woodstock,Cherokee County
172,Riverside-San Bernardino-Ontario,CA,92345,Hesperia,San Bernardino County
173,New York-Newark-Jersey City,NY,10028,New York,New York County
174,Las Vegas-Henderson-Paradise,NV,89121,Las Vegas,Clark County
175,Chicago-Naperville-Elgin,IN,46307,Crown Point,Lake County
176,New York-Newark-Jersey City,NJ,7302,Jersey City,Hudson County
177,Los Angeles-Long Beach-Anaheim,CA,92804,Anaheim,Orange County
178,New York-Newark-Jersey City,NJ,8753,Toms River,Ocean County
179,Houston-The Woodlands-Sugar Land,TX,77450,Cinco Ranch,Fort Bend County
180,Kennewick-Richland,WA,99301,Pasco,Franklin County
181,Chicago-Naperville-Elgin,IL,60634,Chicago,Cook County
182,San Diego-Carlsbad,CA,92126,San Diego,San Diego County
183,Greensboro-High Point,NC,27406,Greensboro,Guilford County
184,Dallas-Fort Worth-Arlington,TX,75228,Dallas,Dallas County
185,Riverside-San Bernardino-Ontario,CA,92503,Riverside,Riverside County
186,Miami-Fort Lauderdale-West Palm Beach,FL,33009,Hallandale,Broward County
187,Columbus,OH,43130,Lancaster,Fairfield County
188,Washington-Arlington-Alexandria,DC,20011,Washington,District of Columbia
189,Seattle-Tacoma-Bellevue,WA,98103,Seattle,King County
190,Fayetteville,NC,28314,Fayetteville,Cumberland County
191,Dallas-Fort Worth-Arlington,TX,76244,Fort Worth,Tarrant County
192,Charlotte-Concord-Gastonia,SC,29732,Rock Hill,York County
193,Los Angeles-Long Beach-Anaheim,CA,90019,Los Angeles,Los Angeles County
194,Raleigh,NC,27610,Raleigh,Wake County
195,Chicago-Naperville-Elgin,IL,60016,Des Plaines,Cook County
196,San Diego-Carlsbad,CA,91911,Chula Vista,San Diego County
197,Austin-Round Rock,TX,78641,Leander,Williamson County
198,Houston-The Woodlands-Sugar Land,TX,77095,Houston,Harris County
199,Albuquerque,NM,87120,Albuquerque,Bernalillo County
200,Charlotte-Concord-Gastonia,NC,28078,Huntersville,Mecklenburg County
201,Hagerstown-Martinsburg,MD,21740,Hagerstown,Washington County
202,Washington-Arlington-Alexandria,VA,22191,Woodbridge,Prince William County
203,Richmond-Berea,KY,40475,Richmond,Madison County
204,San Francisco-Oakland-Hayward,CA,94536,Fremont,Alameda County
205,Cape Coral-Fort Myers,FL,34135,Bonita Springs,Lee County
206,New York-Newark-Jersey City,NJ,7002,Bayonne,Hudson County
207,Sacramento--Roseville--Arden-Arcade,CA,95747,Roseville,Placer County
208,Virginia Beach-Norfolk-Newport News,VA,23320,Chesapeake,Chesapeake City
209,Los Angeles-Long Beach-Anaheim,CA,90280,South Gate,Los Angeles County
210,Indianapolis-Carmel-Anderson,IN,46227,Indianapolis,Marion County
211,Columbus,OH,43230,Gahanna,Franklin County
212,Riverside-San Bernardino-Ontario,CA,92592,Temecula,Riverside County
213,Orlando-Kissimmee-Sanford,FL,34711,Clermont,Lake County
214,Philadelphia-Camden-Wilmington,PA,19111,Philadelphia,Philadelphia County
215,Las Vegas-Henderson-Paradise,NV,89117,Las Vegas,Clark County
216,New York-Newark-Jersey City,NY,10027,New York,New York County
217,New York-Newark-Jersey City,NY,11236,New York,Kings County
218,Atlanta-Sandy Springs-Roswell,GA,30080,Smyrna,Cobb County
219,Atlanta-Sandy Springs-Roswell,GA,30041,Cumming,Forsyth County
220,Tulsa,OK,74012,Broken Arrow,Tulsa County
221,Jacksonville,FL,32218,Jacksonville,Duval County
222,Atlanta-Sandy Springs-Roswell,GA,30052,Loganville,Gwinnett County
223,Baltimore-Columbia-Towson,MD,21117,Owings Mills,Baltimore County
224,Dallas-Fort Worth-Arlington,TX,75035,Frisco,Collin County
225,Riverside-San Bernardino-Ontario,CA,91730,Rancho Cucamonga,San Bernardino County
226,Jacksonville,FL,32244,Jacksonville,Duval County
227,Greenville,NC,27834,Greenville,Pitt County
228,Los Angeles-Long Beach-Anaheim,CA,90201,Bell,Los Angeles County
229,San Diego-Carlsbad,CA,92101,San Diego,San Diego County
230,San Diego-Carlsbad,CA,92109,San Diego,San Diego County
231,Jacksonville,FL,32256,Jacksonville,Duval County
232,Orlando-Kissimmee-Sanford,FL,32822,Orlando,Orange County
233,Los Angeles-Long Beach-Anaheim,CA,90004,Los Angeles,Los Angeles County
234,New York-Newark-Jersey City,NJ,7093,West New York,Hudson County
235,Nashville-Davidson--Murfreesboro--Franklin,TN,38401,Columbia,Maury County
236,Miami-Fort Lauderdale-West Palm Beach,FL,33186,The Crossings,Miami-Dade County
237,Ann Arbor,MI,48103,Ann Arbor,Washtenaw County
238,Atlanta-Sandy Springs-Roswell,GA,30062,Marietta,Cobb County
239,Dallas-Fort Worth-Arlington,TX,75206,Dallas,Dallas County
240,Los Angeles-Long Beach-Anaheim,CA,90706,Bellflower,Los Angeles County
241,Las Vegas-Henderson-Paradise,NV,89052,Henderson,Clark County
242,Atlanta-Sandy Springs-Roswell,GA,30331,Atlanta,Fulton County
243,Boston-Cambridge-Newton,MA,2155,Medford,Middlesex County
244,Greeley,CO,80634,Greeley,Weld County
245,Columbus,OH,43026,Hilliard,Franklin County
246,New York-Newark-Jersey City,NY,10701,Yonkers,Westchester County
247,Dallas-Fort Worth-Arlington,TX,75217,Dallas,Dallas County
248,Columbia,SC,29072,Lexington,Lexington County
249,Los Angeles-Long Beach-Anaheim,CA,91342,Los Angeles,Los Angeles County
250,Nashville-Davidson--Murfreesboro--Franklin,TN,37130,Murfreesboro,Rutherford County
251,San Jose-Sunnyvale-Santa Clara,CA,95123,San Jose,Santa Clara County
252,Miami-Fort Lauderdale-West Palm Beach,FL,33012,Hialeah,Miami-Dade County
253,Chicago-Naperville-Elgin,IL,60626,Chicago,Cook County
254,Riverside-San Bernardino-Ontario,CA,92335,Fontana,San Bernardino County
255,New York-Newark-Jersey City,NY,11372,New York,Queens County
256,San Diego-Carlsbad,CA,92021,El Cajon,San Diego County
257,Virginia Beach-Norfolk-Newport News,VA,23454,Virginia Beach,Virginia Beach City
258,Findlay,OH,45840,Findlay,Hancock County
259,Oxnard-Thousand Oaks-Ventura,CA,93065,Simi Valley,Ventura County
260,Miami-Fort Lauderdale-West Palm Beach,FL,33063,Margate,Broward County
261,Washington-Arlington-Alexandria,VA,22193,Woodbridge,Prince William County
262,Deltona-Daytona Beach-Ormond Beach,FL,32174,Ormond Beach,Volusia County
263,Cleveland-Elyria,OH,44130,Parma Heights,Cuyahoga County
264,Detroit-Warren-Dearborn,MI,48185,Westland,Wayne County
265,Los Angeles-Long Beach-Anaheim,CA,92627,Costa Mesa,Orange County
266,Jonesboro,AR,72401,Jonesboro,Craighead County
267,Greenville,NC,27858,Greenville,Pitt County
268,Washington-Arlington-Alexandria,DC,20001,Washington,District of Columbia
269,Boston-Cambridge-Newton,MA,2360,Plymouth,Plymouth County
270,Miami-Fort Lauderdale-West Palm Beach,FL,33027,Miramar,Broward County
271,Washington-Arlington-Alexandria,MD,20878,Gaithersburg,Montgomery County
272,Virginia Beach-Norfolk-Newport News,VA,23666,Hampton,Hampton City
273,Atlanta-Sandy Springs-Roswell,GA,30022,Johns Creek,Fulton County
274,Tucson,AZ,85705,Tucson,Pima County
275,Albuquerque,NM,87121,Albuquerque,Bernalillo County
276,Port St. Lucie,FL,34953,Port Saint Lucie,Saint Lucie County
277,New York-Newark-Jersey City,NY,11218,New York,Kings County
278,Los Angeles-Long Beach-Anaheim,CA,90011,Los Angeles,Los Angeles County
279,New York-Newark-Jersey City,NJ,8831,Monroe,Middlesex County
280,Washington-Arlington-Alexandria,DC,20019,Washington,District of Columbia
281,New York-Newark-Jersey City,NY,11223,New York,Kings County
282,Washington-Arlington-Alexandria,VA,20147,Ashburn,Loudoun County
283,Zanesville,OH,43701,Zanesville,Muskingum County
284,Riverside-San Bernardino-Ontario,CA,91710,Chino,San Bernardino County
285,Los Angeles-Long Beach-Anaheim,CA,90025,Los Angeles,Los Angeles County
286,Los Angeles-Long Beach-Anaheim,CA,90027,Los Angeles,Los Angeles County
287,Cleveland-Elyria,OH,44077,Painesville,Lake County
288,New York-Newark-Jersey City,NY,10021,New York,New York County
289,Fargo,ND,58103,Fargo,Cass County
290,Rochester,MN,55901,Rochester,Olmsted County
291,San Francisco-Oakland-Hayward,CA,94544,Hayward,Alameda County
292,Chicago-Naperville-Elgin,IL,60616,Chicago,Cook County
293,Atlanta-Sandy Springs-Roswell,GA,30004,Milton,Fulton County
294,Charlotte-Concord-Gastonia,SC,29730,Rock Hill,York County
295,Houston-The Woodlands-Sugar Land,TX,77082,Houston,Harris County
296,Columbus,OH,43228,Columbus,Franklin County
297,Nashville-Davidson--Murfreesboro--Franklin,TN,37128,Murfreesboro,Rutherford County
298,Eugene,OR,97402,Eugene,Lane County
299,Durham-Chapel Hill,NC,27713,Durham,Durham County
300,Philadelphia-Camden-Wilmington,PA,19124,Philadelphia,Philadelphia County
301,Birmingham-Hoover,AL,35242,Hoover,Jefferson County
302,Atlanta-Sandy Springs-Roswell,GA,30127,Powder Springs,Cobb County
303,Miami-Fort Lauderdale-West Palm Beach,FL,33313,Lauderhill,Broward County
304,Hot Springs,AR,71913,Hot Springs,Garland County
305,San Jose-Sunnyvale-Santa Clara,CA,95051,Santa Clara,Santa Clara County
306,Fort Collins,CO,80525,Fort Collins,Larimer County
307,Fresno,CA,93727,Fresno,Fresno County
308,Charleston-North Charleston,SC,29464,Mount Pleasant,Charleston County
309,Durham-Chapel Hill,NC,27703,Durham,Durham County
310,College Station-Bryan,TX,77840,College Station,Brazos County
311,Dallas-Fort Worth-Arlington,TX,75150,Mesquite,Dallas County
312,Denver-Aurora-Lakewood,CO,80015,Aurora,Arapahoe County
313,Richmond,VA,23223,Richmond,Richmond City
314,Los Angeles-Long Beach-Anaheim,CA,90731,Los Angeles,Los Angeles County
315,Winston-Salem,NC,27284,Kernersville,Forsyth County
316,Virginia Beach-Norfolk-Newport News,VA,23452,Virginia Beach,Virginia Beach City
317,Los Angeles-Long Beach-Anaheim,CA,91335,Los Angeles,Los Angeles County
318,Vallejo-Fairfield,CA,95687,Vacaville,Solano County
319,Jacksonville,FL,32225,Jacksonville,Duval County
320,Columbus,OH,43068,Reynoldsburg,Franklin County
321,Seattle-Tacoma-Bellevue,WA,98115,Seattle,King County
322,Bowling Green,KY,42101,Bowling Green,Warren County
323,Chicago-Naperville-Elgin,IL,60622,Chicago,Cook County
324,Phoenix-Mesa-Scottsdale,AZ,85251,Scottsdale,Maricopa County
325,Frankfort,KY,40601,Frankfort,Franklin County
326,New York-Newark-Jersey City,NJ,7087,Union City,Hudson County
327,Houston-The Woodlands-Sugar Land,TX,77007,Houston,Harris County
328,Oklahoma City,OK,73160,Moore,Cleveland County
329,Miami-Fort Lauderdale-West Palm Beach,FL,33319,Lauderhill,Broward County
330,St. Louis,MO,63123,Affton,Saint Louis County
331,Portland-Vancouver-Hillsboro,WA,98682,Vancouver,Clark County
332,Los Angeles-Long Beach-Anaheim,CA,93536,Lancaster,Los Angeles County
333,Baltimore-Columbia-Towson,MD,21215,Baltimore,Baltimore City
334,Los Angeles-Long Beach-Anaheim,CA,93550,Palmdale,Los Angeles County
335,McAllen-Edinburg-Mission,TX,78501,McAllen,Hidalgo County
336,New York-Newark-Jersey City,NY,11208,New York,Kings County
337,San Francisco-Oakland-Hayward,CA,94509,Antioch,Contra Costa County
338,Nashville-Davidson--Murfreesboro--Franklin,TN,37064,Franklin,Williamson County
339,Atlanta-Sandy Springs-Roswell,GA,30135,Douglasville,Douglas County
340,Houston-The Woodlands-Sugar Land,TX,77057,Houston,Harris County
341,Chicago-Naperville-Elgin,IL,60615,Chicago,Cook County
342,Orlando-Kissimmee-Sanford,FL,32828,Orlando,Orange County
343,Chillicothe,OH,45601,Chillicothe,Ross County
344,Las Vegas-Henderson-Paradise,NV,89031,North Las Vegas,Clark County
345,San Jose-Sunnyvale-Santa Clara,CA,95035,Milpitas,Santa Clara County
346,Los Angeles-Long Beach-Anaheim,CA,93535,Lancaster,Los Angeles County
347,Buffalo-Cheektowaga-Niagara Falls,NY,14221,Amherst,Erie County
348,San Francisco-Oakland-Hayward,CA,94568,Dublin,Alameda County
349,Philadelphia-Camden-Wilmington,PA,19446,Lansdale,Montgomery County
350,Phoenix-Mesa-Scottsdale,AZ,85142,Queen Creek,Pinal County
351,Dallas-Fort Worth-Arlington,TX,76116,Fort Worth,Tarrant County
352,Virginia Beach-Norfolk-Newport News,VA,23451,Virginia Beach,Virginia Beach City
353,Las Vegas-Henderson-Paradise,NV,89123,Las Vegas,Clark County
354,Baltimore-Columbia-Towson,MD,21122,Pasadena,Anne Arundel County
355,Bakersfield,CA,93306,Bakersfield,Kern County
356,San Francisco-Oakland-Hayward,CA,94122,San Francisco,San Francisco County
357,San Antonio-New Braunfels,TX,78249,San Antonio,Bexar County
358,Rochester,NY,14580,Webster,Monroe County
359,New York-Newark-Jersey City,NY,11225,New York,Kings County
360,Sacramento--Roseville--Arden-Arcade,CA,95758,Elk Grove,Sacramento County
361,Chicago-Naperville-Elgin,IL,60641,Chicago,Cook County
362,Kansas City,KS,66061,Olathe,Johnson County
363,Chicago-Naperville-Elgin,IL,60660,Chicago,Cook County
364,Miami-Fort Lauderdale-West Palm Beach,FL,33321,Tamarac,Broward County
365,Boston-Cambridge-Newton,MA,2301,Brockton,Plymouth County
366,Dallas-Fort Worth-Arlington,TX,75043,Garland,Dallas County
367,Philadelphia-Camden-Wilmington,PA,19020,Bensalem,Bucks County
368,Philadelphia-Camden-Wilmington,DE,19720,New Castle,New Castle County
369,Atlanta-Sandy Springs-Roswell,GA,30253,McDonough,Henry County
370,Chicago-Naperville-Elgin,IL,60453,Oak Lawn,Cook County
371,Charleston-North Charleston,SC,29445,Goose Creek,Berkeley County
372,Visalia-Porterville,CA,93257,Porterville,Tulare County
373,Durham-Chapel Hill,NC,27707,Durham,Durham County
374,Nashville-Davidson--Murfreesboro--Franklin,TN,37122,Mount Juliet,Wilson County
375,Savannah,GA,31419,Savannah,Chatham County
376,Houston-The Woodlands-Sugar Land,TX,77521,Baytown,Harris County
377,Philadelphia-Camden-Wilmington,PA,19120,Philadelphia,Philadelphia County
378,Visalia-Porterville,CA,93274,Tulare,Tulare County
379,New York-Newark-Jersey City,NY,11204,New York,Kings County
380,Miami-Fort Lauderdale-West Palm Beach,FL,33467,Greenacres,Palm Beach County
381,Baltimore-Columbia-Towson,MD,21222,Dundalk,Baltimore County
382,Bakersfield,CA,93307,Bakersfield,Kern County
383,Hanford-Corcoran,CA,93230,Hanford,Kings County
384,New York-Newark-Jersey City,NY,10032,New York,New York County
385,Washington-Arlington-Alexandria,VA,22204,Arlington,Arlington County
386,Greenville-Anderson-Mauldin,SC,29681,Simpsonville,Greenville County
387,Nashville-Davidson--Murfreesboro--Franklin,TN,37066,Gallatin,Sumner County
388,Bakersfield,CA,93309,Bakersfield,Kern County
389,Phoenix-Mesa-Scottsdale,AZ,85282,Tempe,Maricopa County
390,Indianapolis-Carmel-Anderson,IN,46143,Greenwood,Johnson County
391,Washington-Arlington-Alexandria,MD,20874,Germantown,Montgomery County
392,New York-Newark-Jersey City,NY,11219,New York,Kings County
393,Dallas-Fort Worth-Arlington,TX,75002,Allen,Collin County
394,Jacksonville,FL,32246,Jacksonville,Duval County
395,Oxford,MS,38655,Oxford,Lafayette County
396,Los Angeles-Long Beach-Anaheim,CA,92630,Lake Forest,Orange County
397,Warner Robins,GA,31088,Warner Robins,Houston County
398,San Francisco-Oakland-Hayward,CA,94541,Hayward,Alameda County
399,Seattle-Tacoma-Bellevue,WA,98133,Shoreline,King County
400,Los Angeles-Long Beach-Anaheim,CA,90802,Long Beach,Los Angeles County
401,Columbia,SC,29223,Columbia,Richland County
402,Chicago-Naperville-Elgin,IL,60056,Mount Prospect,Cook County
403,Miami-Fort Lauderdale-West Palm Beach,FL,33157,Village of Palmetto Bay,Miami-Dade County
404,San Francisco-Oakland-Hayward,CA,94538,Fremont,Alameda County
405,Santa Cruz-Watsonville,CA,95076,Watsonville,Santa Cruz County
406,Hickory-Lenoir-Morganton,NC,28601,Hickory,Catawba County
407,Phoenix-Mesa-Scottsdale,AZ,85022,Phoenix,Maricopa County
408,Charlotte-Concord-Gastonia,NC,28216,Charlotte,Mecklenburg County
409,New York-Newark-Jersey City,NY,11213,New York,Kings County
